Date,Symbol,Strike Price,Bid Price,Ask Price,Last Price,Expiry Date,Call/Put,Class Symbol,Root Symbol,Underlying Symbol
2026-01-23,SPY,,,,689.23,,,,,
2026-01-23,SPY 1/30/26 C605,605,84.13000488,84.29000854,84.15000916,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C606,606,81.8500061,84.63000488,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C607,607,80.84999084,83.63000488,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C608,608,79.8500061,82.63999939,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C609,609,78.8500061,81.62998962,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C610,610,77.86000061,80.63999939,79.24000549,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C611,611,76.86000061,79.61000061,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C612,612,75.83999634,78.62001038,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C613,613,74.83999634,77.63999939,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C614,614,73.86000061,76.63999939,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C615,615,74.1499939,74.33000183,73.77999878,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C616,616,71.87001038,74.63000488,72.3500061,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C617,617,70.8500061,73.66999817,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C618,618,69.87001038,72.65000916,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C619,619,68.84999084,71.6499939,0,2026-01-30,0,SPY,SPY,SPY
2026-01-23,SPY 1/30/26 C620,620,69.19000244,69.3500061,69.65000916,2026-01-30,0,SPY,SPY,SPY
