Date,Close
2026-04-09, 49.17 
2026-04-08, 49.41 
2026-04-07, 48.85 
2026-04-06, 48.74 
2026-04-02, 48.63 
2026-04-01, 48.38 
2026-03-31, 48.15 
2026-03-30, 47.07 
2026-03-27, 47.04 
2026-03-26, 47.03 
2026-03-25, 47.67 
2026-03-24, 47.07 
2026-03-23, 47.04 
2026-03-20, 46.23 
2026-03-19, 47.00 
2026-03-18, 47.54 
2026-03-17, 48.37 
2026-03-16, 48.27 
2026-03-13, 47.69 
2026-03-12, 47.99 
2026-03-11, 48.37 
2026-03-10, 48.55 
2026-03-09, 48.46 
2026-03-06, 48.28 
2026-03-05, 49.05 
2026-03-04, 49.43 
2026-03-03, 49.16 
2026-03-02, 50.06 
2026-02-27, 49.71 
2026-02-26, 50.03 
2026-02-25, 49.63 
2026-02-24, 49.32 
2026-02-23, 49.41 
2026-02-20, 49.57 
2026-02-19, 49.30 
2026-02-18, 49.08 
2026-02-17, 48.38 
2026-02-13, 48.52 
2026-02-12, 47.79 
2026-02-11, 48.65 
2026-02-10, 48.78 
2026-02-09, 48.39 
2026-02-06, 47.65 
2026-02-05, 47.09 
2026-02-04, 47.67 
2026-02-03, 47.41 
2026-02-02, 47.33 
2026-01-30, 46.90 
2026-01-29, 48.27 
2026-01-28, 48.30 
2026-01-27, 48.26 
2026-01-26, 48.35 
2026-01-23, 48.41 
2026-01-22, 48.25 
2026-01-21, 48.13 
2026-01-20, 47.96 
2026-01-19, 48.65 
2026-01-16, 48.64 
2026-01-15, 48.69 
2026-01-14, 48.53 
2026-01-13, 48.51 
2026-01-12, 48.48 
2026-01-09, 48.22 
2026-01-08, 47.92 
2026-01-07, 47.49 
2026-01-06, 47.93 
2026-01-05, 47.71 
2026-01-02, 47.25 
2025-12-31, 46.99 
2025-12-30, 47.22 
2025-12-29, 47.27 
2025-12-24, 47.39 
2025-12-23, 47.38 
2025-12-22, 47.29 
2025-12-19, 47.05 
2025-12-18, 46.67 
2025-12-17, 46.31 
2025-12-16, 46.31 
2025-12-15, 46.65 
2025-12-12, 46.70 
2025-12-11, 46.80 
2025-12-10, 46.57 
2025-12-09, 46.21 
2025-12-08, 46.15 
2025-12-05, 46.42 
2025-12-04, 46.66 
2025-12-03, 46.17 
2025-12-02, 46.00 
2025-12-01, 45.99 
2025-11-28, 46.42 
2025-11-27, 46.25 
2025-11-26, 46.21 
2025-11-25, 45.86 
2025-11-24, 45.37 
2025-11-21, 44.83 
2025-11-20, 44.50 
2025-11-19, 44.87 
2025-11-18, 44.89 
2025-11-17, 44.94 
2025-11-14, 45.31 
2025-11-13, 45.20 
2025-11-12, 45.99 
2025-11-11, 45.44 
2025-11-10, 45.24 
2025-11-07, 44.67 
2025-11-06, 44.63 
2025-11-05, 44.99 
2025-11-04, 44.52 
2025-11-03, 45.20 
2025-10-31, 45.14 
2025-10-30, 45.00 
2025-10-29, 44.96 
2025-10-28, 45.46 
2025-10-27, 45.29 
2025-10-24, 45.28 
2025-10-23, 45.02 
2025-10-22, 44.76 
2025-10-21, 44.64 
2025-10-20, 45.24 
2025-10-17, 44.56 
2025-10-16, 45.17 
2025-10-15, 45.49 
2025-10-14, 45.12 
